time	T01	T02	T03	T04	T05	T06	T07	T08	T09	P	N2
1543921908866	-1	2	5	2	3	2	2	2	2	350	1
1543921918866	-1	2	5	2	3	2	2	2	2	350	1
1543921928867	-1	2	5	2	3	2	2	2	2	350	1
1543921938868	-1	2	5	2	3	2	2	2	2	350	1
1543921948869	-1	2	5	2	3	2	2	2	2	350	1
1543921958869	-1	2	5	2	3	2	2	2	2	350	1
1543921968870	-1	2	5	2	3	2	2	2	2	350	1
1543921978870	-1	2	5	2	3	2	2	2	2	350	1
1543921988872	-1	2	5	2	3	2	2	2	2	350	1
1543921998873	-1	2	5	2	3	2	2	2	2	350	1
1543922008873	-1	2	5	2	3	2	2	2	2	350	1
1543922018875	-1	2	5	2	3	2	2	2	2	350	1
1543922028876	-1	2	5	2	3	2	2	2	2	350	1
1543922038876	-1	2	5	2	3	2	2	2	2	350	1
1543922048877	-1	2	5	2	3	2	2	2	2	350	1
1543922058877	-1	2	5	2	3	2	2	2	2	350	1
1543922068878	-1	2	5	2	3	2	2	2	2	350	1
1543922078878	-1	2	5	2	3	2	2	2	2	350	1
1543922088880	-1	2	5	2	3	2	2	2	2	350	1
1543922098880	-1	2	5	2	3	2	2	2	2	350	1
1543922108881	-1	2	5	2	3	2	2	2	2	350	1
1543922118882	-1	2	5	2	3	2	2	2	2	350	1
1543922128884	-1	2	5	2	3	2	2	2	2	350	1
1543922138885	-1	2	5	2	3	2	2	2	2	350	1
1543922148885	-1	2	5	2	3	2	2	2	2	350	1
1543922158885	-1	2	5	2	3	2	2	2	2	350	1
1543922168887	-1	2	5	2	3	2	2	2	2	350	1
1543922178890	-1	2	5	2	3	2	2	2	2	350	1
1543922188890	-1	2	5	2	3	2	2	2	2	350	1
1543922198891	-1	2	5	2	3	2	2	2	2	350	1
1543922208892	-1	2	5	2	3	2	2	2	2	350	1
1543922218893	-1	2	5	2	3	2	2	2	2	350	1
1543922228893	-1	2	5	2	3	2	2	2	2	350	1
1543922238893	-1	2	5	2	3	2	2	2	2	350	1
1543922248893	-1	2	5	2	3	2	2	2	2	350	1
1543922258894	-1	2	5	2	3	2	2	2	2	350	1
1543922268896	-1	2	5	2	3	2	2	2	2	350	1
1543922278897	-1	3	5	2	3	2	2	2	2	350	1
